Filings Report,,,,,,,,,,
"Generated on Monday, 19 October 2020 at 18:53 PDT",,,,,,,,,,
,,,,,,,,,,
CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1355848,Secondary,"Genius Brands International, Inc.","Beverly Hills, CA",GNUS,Nasdaq NM,2020-09-04,-,-,$100.0 mil.,Shelf Registration (mixed)
1095052,Secondary,Platinum Group Metals Ltd.,"Vancouver, BC, CANADA",PTM,NYSE,2020-09-04,-,-,$12.0 mil.,BMO Capital Markets
886744,Secondary,Geron Corp.,"Menlo Park, CA",GERN,Nasdaq NM,2020-09-04,-,-,$350.0 mil.,Shelf Registration (mixed)
1517130,Secondary,Pingtan Marine Enterprise Ltd.,"Zhongshan Building A, No, CHINA",PME,Nasdaq NM,2020-09-04,-,-,$10.0 mil.,Shelf Registration (mixed)
1293818,Secondary,"OpGen, Inc.","Gaithersburg, MD",OPGN,Nasdaq NM,2020-09-04,-,-,$22.1 mil.,H.C. Wainwright & Co.
1430306,Secondary,Tonix Pharmaceuticals Holding Corp.,"New York, NY",TNXP,Nasdaq NM,2020-09-04,-,-,$100.0 mil.,A.G.P.
854800,Secondary,"MICT, Inc.","Montvale, NJ",MICT,Nasdaq NM,2020-09-04,-,-,$250.0 mil.,Shelf Registration (mixed)
1319947,Secondary,Designer Brands Inc.,"Columbus, OH",DBI,NYSE,2020-09-04,-,-,$100.0 mil.,BMO Capital Markets
1419041,Secondary,"Forte Biosciences, Inc.","Torrance, CA",FBRX,Nasdaq NM,2020-09-04,-,-,$30.0 mil.,Ladenburg Thalmann
1747661,Secondary,"Color Star Technology Co., Ltd.","New York, NY",HHT,Nasdaq NM,2020-09-04,-,-,$2.00 mil.,Shelf Registration
861838,Secondary,Idera Pharmaceuticals Inc.,"Cambridge, MA",IDRA,Nasdaq NM,2020-09-03,-,-,$30.2 mil.,JMP Securities
1755237,Secondary,"Cyclerion Therapeutics, Inc.","Cambridge, MA",CYCN,Nasdaq NM,2020-09-03,-,-,$50.0 mil.,Jefferies
1433642,Secondary,Hamilton Lane Inc.,"Bala Cynwyd, PA",HLNE,Nasdaq NM,2020-09-03,-,-,$157.8 mil.,J.P. Morgan
1729149,Secondary,"Viemed Healthcare, Inc.","Lafayette, LA",VMD,Nasdaq NM,2020-09-03,-,-,$100.0 mil.,Shelf Registration (mixed)
